id,region,keyEvent,name,sales,cost,sector
76,6,,Оптиматика 76 Моторс,150,"4500,81",3
77,6,,Хит Моторс Юг,132,"10453,93",2
78,6,,Лайм Моторс Всеволожск,65,"4373,47",3
79,6,,Оптиматика 79 Моторс,196,"8615,44",3
80,6,,Оптиматика 80 Моторс,40,"5635,12",3
81,6,,Оптиматика 81 Моторс,83,"10999,91",2
82,6,,Оптиматика 82 Моторс,121,"6206,3",3
83,7,,Вест Кост Кастомс,615,"11834,42",1
84,7,,Оптиматика 84 Моторс,603,"11973,01",1
85,7,,Оптиматика 85 Моторс,577,"13340,49",1
86,8,,Оптиматика 86 Моторс,86,"7494,24",3
87,8,,Топ Карс Петропавловск-Камчатский,56,"8622,36",3
88,8,,Оптиматика 88 Моторс,51,"2219,82",3
89,8,,Оптиматика 89 Моторс,67,"13785,99",2
90,8,,Оптиматика 90 Моторс,275,"6210,26",0
91,8,,Оптиматика 91 Моторс,81,"8884,26",3
92,8,,Оптиматика 92 Моторс,259,"5358,78",0
93,8,,Оптиматика 93 Моторс,149,"8958,79",2
94,9,,Оптиматика 94 Моторс,64,"5539,89",3
95,9,,Топ Карс Ярославль,149,"9474,86",2
96,9,,Топ Карс Люблино,80,"7021,41",3
97,9,,Оптиматика 97 Моторс,49,"7282,22",3
98,9,,Оптиматика 98 Моторс,167,"5945,19",3
99,9,,Оптиматика 99 Моторс,66,"6169,61",3
100,9,,Оптиматика 100 Моторс,142,"15158,35",2
101,9,,Оптиматика 101 Моторс,194,"6704,05",3
102,9,,Топ Карс Екатеринбург,357,"2751,05",0
103,9,,Оптиматика 103 Моторс,115,"6862,23",3
