id,region,keyEvent,name,sales,cost,sector
72,6,,Оптиматика 72 Моторс,65,"18911,62",2
73,6,,Оптиматика 73 Моторс,49,"10571,77",2
74,6,,Оптиматика 74 Моторс,75,"12376,56",2
75,6,,Оптиматика 75 Моторс,124,"4293,13",3
76,6,Тренинг Март 2019,Оптиматика 76 Моторс,120,"12484,00",2
77,6,Тренинг Март 2019,Хит Моторс Юг,47,"7121,34",3
78,6,,Лайм Моторс Всеволожск,178,"4144,73",0
79,6,,Оптиматика 79 Моторс,33,"12936,07",2
80,6,Тренинг Март 2019,Оптиматика 80 Моторс,68,"8767,57",3
81,6,,Оптиматика 81 Моторс,94,"7497,84",3
82,6,,Оптиматика 82 Моторс,531,"8879,13",0
83,7,Тренинг Март 2019,Вест Кост Кастомс,506,"11777,19",1
84,7,Тренинг Март 2019,Оптиматика 84 Моторс,502,"11323,51",1
85,7,,Оптиматика 85 Моторс,72,"11202,04",2
86,8,,Оптиматика 86 Моторс,57,"3879,51",3
87,8,,Топ Карс Петропавловск-Камчатский,47,"4562,44",3
88,8,Тренинг Март 2019,Оптиматика 88 Моторс,63,"11629,99",2
89,8,Тренинг Март 2019,Оптиматика 89 Моторс,198,"7350,28",0
90,8,,Оптиматика 90 Моторс,64,"7181,83",3
91,8,Тренинг Март 2019,Оптиматика 91 Моторс,22,"20004,55",2
92,8,Тренинг Март 2019,Оптиматика 92 Моторс,267,"7182,78",0
93,8,,Оптиматика 93 Моторс,223,"7990,21",0
94,9,,Оптиматика 94 Моторс,58,"6887,83",3
95,9,Тренинг Март 2019,Топ Карс Ярославль,140,"9283,71",3
96,9,,Топ Карс Люблино,72,"10634,24",2
97,9,Тренинг Март 2019,Оптиматика 97 Моторс,41,"9947,39",3
98,9,Тренинг Март 2019,Оптиматика 98 Моторс,119,"8560,09",3
99,9,Тренинг Март 2019,Оптиматика 99 Моторс,60,"4236,33",3
100,9,,Оптиматика 100 Моторс,112,"11026,53",2
101,9,,Оптиматика 101 Моторс,162,"5555,17",3
102,9,Тренинг Март 2019,Топ Карс Екатеринбург,318,"4686,80",0
103,9,,Оптиматика 103 Моторс,95,"11584,67",2
